scene,steps,episode_return,mean_step_reward,mean_pos_error_m
scene-0061,37,21.531801223754883,0.5819405913352966,2.0440149980253453
scene-0103,38,-4.061398029327393,-0.10687889903783798,5.326289147499104
scene-0553,39,-0.00029774807626381516,-7.634565918124281e-06,2.8170072115384617e-05
scene-0655,39,29.33223533630371,0.7521085739135742,3.0710161601222197
scene-0757,39,4.450003147125244,0.11410264670848846,1.9179453337850878
scene-0796,38,-100.08393859863281,-2.6337878704071045,18.21838464386005
scene-0916,39,22.259239196777344,0.5707497000694275,2.03427529604576
scene-1077,39,-15.189571380615234,-0.3894761800765991,6.534336684741799
scene-1094,38,8.987456321716309,0.23651200532913208,3.2706851014640033
scene-1100,38,-0.2025175243616104,-0.005329408682882786,0.669728641639587
